Feature 1,Feature 2,Otolith type
-29.220907,-19.622356,Clupea harengus
-7.35314,-7.3340135,Clupea harengus
7.089854,-25.885704,Clupea harengus
-15.427699,35.511993,Sprattus sprattus
4.2592835,27.074705,Sprattus sprattus
-1.4812133,32.779488,Sprattus sprattus
-14.1575985,40.25331,Sprattus sprattus
1.0635377,32.09966,Sprattus sprattus
-5.624761,-35.874004,Clupea harengus
0.18105069,35.71375,Sprattus sprattus
-5.825533,-37.622337,Clupea harengus
-1.2628783,27.943325,Sprattus sprattus
-17.020334,39.931244,Sprattus sprattus
3.1770515,28.32898,Sprattus sprattus
-2.8346426,34.978756,Sprattus sprattus
-9.56252,-33.019424,Clupea harengus
21.26116,-5.019395,Ammodytes tobianus
5.5543747,-29.337856,Clupea harengus
1.0054442,-37.738808,Clupea harengus
-23.555462,-22.510683,Clupea harengus
24.090702,-5.669337,Ammodytes tobianus
6.7977653,-27.976625,Clupea harengus
24.041296,36.064167,Alosa fallax
48.59243,20.967087,Ammodytes marinus
51.2986,17.826494,Ammodytes marinus
-7.018376,-14.39547,Clupea harengus
-6.2035947,-20.149237,Clupea harengus
-27.999489,-13.811518,Clupea harengus
-5.755439,-11.527729,Clupea harengus
-1.5596099,31.112095,Sprattus sprattus
28.116629,-4.7559586,Ammodytes tobianus
29.752611,-11.207216,Ammodytes tobianus
-2.2544482,-25.467823,Clupea harengus
23.227175,8.066257,Ammodytes tobianus
-33.644814,-18.57189,Clupea harengus
51.22982,11.077792,Ammodytes marinus
-27.880636,-10.599697,Clupea harengus
13.0992775,-5.322007,Ammodytes tobianus
-3.2324839,-25.495787,Clupea harengus
-6.820358,-24.650139,Clupea harengus
31.845715,-0.1497824,Ammodytes tobianus
-20.25644,-21.12851,Clupea harengus
0.31317997,-35.724476,Clupea harengus
37.54707,-28.539652,Hyperoplus lanceolatus
30.832167,-11.098255,Ammodytes tobianus
-9.956605,32.461025,Sprattus sprattus
6.546714,28.11556,Sprattus sprattus
30.674557,-1.379517,Ammodytes tobianus
-28.166014,-8.316694,Clupea harengus
22.99522,-2.4151697,Ammodytes tobianus
44.7744,15.338491,Ammodytes marinus
-2.860141,-20.309345,Clupea harengus
-9.35486,-33.13607,Clupea harengus
29.052797,-1.9504128,Ammodytes tobianus
51.598274,12.923772,Ammodytes marinus
-17.766497,37.892715,Sprattus sprattus
13.773927,-5.710112,Ammodytes tobianus
-0.19358595,-29.305761,Clupea harengus
1.2019128,-38.39422,Clupea harengus
-20.537745,-16.957884,Clupea harengus
-26.798794,-11.078691,Clupea harengus
54.74108,11.806008,Ammodytes marinus
-16.349052,36.772243,Sprattus sprattus
18.495241,2.8331518,Ammodytes tobianus
-8.054524,-7.519093,Clupea harengus
-24.7225,-14.606057,Clupea harengus
-7.9637537,-35.918392,Clupea harengus
-19.605745,20.606493,Sprattus sprattus
24.177044,-2.5166767,Ammodytes tobianus
22.326542,37.16934,Alosa fallax
-1.0648046,-19.91275,Clupea harengus
-17.702824,40.45684,Sprattus sprattus
-14.922934,-22.103088,Clupea harengus
-6.743092,-36.12902,Clupea harengus
-9.334574,30.861242,Sprattus sprattus
-26.568409,-14.9166975,Clupea harengus
-30.341124,-11.118193,Clupea harengus
-18.200764,-15.073464,Clupea harengus
-9.414855,39.46335,Sprattus sprattus
-9.705215,31.102821,Sprattus sprattus
-5.7804832,13.890502,Sprattus sprattus
-8.785284,15.968153,Sprattus sprattus
-5.3644223,34.908077,Sprattus sprattus
19.218275,5.138858,Ammodytes tobianus
24.077553,36.66845,Alosa fallax
-9.267254,30.471777,Sprattus sprattus
9.467646,-29.601805,Clupea harengus
-5.343851,-37.291668,Clupea harengus
-4.768262,33.521038,Sprattus sprattus
8.242171,-25.138607,Clupea harengus
12.943941,-4.6361346,Ammodytes tobianus
-9.052987,-6.276434,Clupea harengus
-18.11125,27.848711,Sprattus sprattus
-7.7891912,-16.535433,Clupea harengus
29.530212,-14.176797,Ammodytes tobianus
-25.850851,-17.44341,Clupea harengus
-25.24771,-16.408829,Clupea harengus
-26.056044,-18.60162,Clupea harengus
-28.247015,-7.5723,Clupea harengus
-17.992758,19.281498,Sprattus sprattus
33.584064,-5.954431,Ammodytes tobianus
-27.05475,-9.533656,Clupea harengus
18.883554,1.105059,Ammodytes tobianus
-4.5419383,-19.006813,Clupea harengus
